公開情報区分コード,公開情報区分,雇用形態区分コード,雇用形態区分,給与区分コード,給与区分,職種コード,職種名（表示名）,特徴コード,特徴名（表示名）,都道府県コード,都道府県名,市区町村コード対応都道府県コード,市区町村コード,市区町村名,最寄駅コード,駅名,自分力パラメータコード,自分力パラメータ名（表示名）,自分力パラメータ値,自分力パラメータ値名（表示名）,タグコード,タグ名（表示名）,固定残業代有無コード,固定残業代有無区分,勤務形態コード,勤務形態区分,社会保険整備状況コード,社会保険整備状況区分,試用期間有無コード,試用期間有無区分
1,作成中,1,正社員,1,時給,110,営業・企画営業（個人向け）,1,未経験者活躍,1,北海道,1,101,札幌市中央区,1,愛冠,101,コミュニケーション力,1,20%,1,ADAS,1,あり,1,専門業務型裁量労働制,1,健康保険,1,あり
2,未公開,2,契約社員,2,日給,120,営業・企画営業（法人向け）,2,第2新卒活躍,2,青森県,1,102,札幌市北区,2,愛山,102,協調性,2,40%,2,AI,2,なし,2,事業場外みなし労働時間制,2,厚生年金,2,なし
3,公開予約,3,アルバイト・パート,3,月給,130,代理店営業,3,育児・介護休暇あり,3,岩手県,1,103,札幌市東区,3,あいの里教育大,103,向上心,3,60%,3,Android開発,,,3,固定時間制,3,雇用保険,,
6,公開中,4,派遣社員,4,年俸,140,ルートセールス・ラウンダー,4,女性が活躍,4,宮城県,1,104,札幌市白石区,4,あいの里公園,104,忍耐力,4,80%,4,API,,,4,シフト制,4,労災保険,,
7,公開失敗,5,紹介予定派遣,5,年収,150,メディカル営業（MR・MS）,5,シフト勤務,5,秋田県,1,105,札幌市豊平区,5,相内,105,柔軟性,5,100%,5,Arduino,,,5,企画業務型裁量労働制,,,,
,,7,職業紹介,6,完全歩合制,160,セールスエンジニア・技術営業・システム営業,6,服装自由,6,山形県,1,106,札幌市南区,6,愛別,106,積極性,,,6,AWS,,,6,変形労働時間制,,,,
,,8,インターンシップ,99,その他,170,マネージャー・管理職,7,転勤なし,7,福島県,1,107,札幌市西区,7,青葉,107,理解力,,,7,CI,,,7,高度プロフェッショナル制度,,,,
,,9,業務委託,,,180,キャリアカウンセラー・人材コーディネーター,8,残業なし,8,茨城県,1,108,札幌市厚別区,8,赤井川,108,判断力,,,8,CI/CD,,,8,フレックスタイム制度,,,,
,,99,その他,,,199,その他（営業関連）,9,平均年齢20代,9,栃木県,1,109,札幌市手稲区,9,赤平,109,マナー（常識）,,,9,DevOps経験,,,,,,,,
,,,,,,190,テレマーケティング・コールセンター・SV,10,上場企業,10,群馬県,1,110,札幌市清田区,10,旭川,110,責任感,,,10,DWH,,,,,,,,
,,,,,,210,営業・事業・経営企画,11,ベンチャー,11,埼玉県,1,202,函館市,11,旭川四条,202,実行力,,,11,Eコマース,,,,,,,,
,,,,,,220,財務・会計・経理,12,フレックスタイム制あり,12,千葉県,1,203,小樽市,13,麻生,203,企画力,,,12,ITサポート,,,,,,,,
,,,,,,230,人事・総務・労務・法務,13,寮・社宅あり,13,東京都,1,204,旭川市,14,朝里,204,発想力,,,13,IT経験,,,,,,,,
,,,,,,240,一般事務・営業事務・秘書・受付,14,長期休暇あり,14,神奈川県,1,205,室蘭市,16,芦別,205,改善力,,,14,IVR,,,,,,,,
,,,,,,242,商品管理・在庫管理,15,フリーター活躍,15,新潟県,1,206,釧路市,17,足寄,206,応用力,,,15,LAMP環境経験,,,,,,,,
,,,,,,243,一般事務・営業事務,16,マイカー通勤OK,16,富山県,1,207,帯広市,18,厚岸,207,営業力,,,16,PaaS,,,,,,,,
,,,,,,244,秘書・受付,17,研修・教育制度充実,17,石川県,1,208,北見市,19,厚床,208,交渉力,,,17,SaaS,,,,,,,,
,,,,,,245,データ入力・オペレーター,18,語学を活かせる,18,福井県,1,209,夕張市,20,厚賀,209,提案力,,,18,UI,,,,,,,,
,,,,,,250,医療・貿易・国際関連事務,19,中途入社50%以上,19,山梨県,1,210,岩見沢市,21,厚内,210,伝達力,,,19,UX,,,,,,,,
,,,,,,260,医療事務,20,海外勤務・海外出張あり,20,長野県,1,211,網走市,22,厚別,211,マネジメント力,,,20,アセンブラ,,,,,,,,
,,,,,,270,購買・資材調達,21,在宅ワーク,21,岐阜県,1,212,留萌市,23,姉別,212,推進力,,,21,アプリケーション開発,,,,,,,,
,,,,,,280,マーケティング・広告・宣伝,22,オフィスカジュアル,22,静岡県,1,213,苫小牧市,24,網走,213,決断力,,,22,インシデント管理,,,,,,,,
,,,,,,290,カスタマー・テクニカルサポート,23,職場見学可,23,愛知県,1,214,稚内市,25,安平,214,創造力,,,23,ウェブサービス,,,,,,,,
,,,,,,291,テレフォンオペレーター（テレオペ）,25,2018年新卒採用,24,三重県,1,215,美唄市,26,阿分,215,問題解決力,,,24,ウェブ制作,,,,,,,,
,,,,,,292,コールセンター管理・運営,26,土日祝日休み,25,滋賀県,1,216,芦別市,27,安足間,216,洞察力,,,25,オブジェクト指向プログラミング経験,,,,,,,,
,,,,,,293,サポートデスク,27,短時間ワーク,26,京都府,1,217,江別市,28,伊香牛,217,分析力,,,26,コンピュータサイエンス知識,,,,,,,,
,,,,,,294,コミュニケーター,28,新卒採用,27,大阪府,1,218,赤平市,29,生田原,218,状況判断能力,,,27,サーバー管理,,,,,,,,
,,,,,,295,管理職（営業・企画）,29,障がい者採用,28,兵庫県,1,219,紋別市,30,幾寅,,,,,28,サイバーセキュリティ,,,,,,,,
,,,,,,299,その他（企画・管理・事務）,30,リモート面接OK,29,奈良県,1,220,士別市,31,生野(北海道),,,,,29,システムエンジニア経験,,,,,,,,
,,,,,,310,公認会計士・税理士,31,面接時マスク着用,30,和歌山県,1,221,名寄市,32,池田(北海道),,,,,30,システムセキュリティ,,,,,,,,
,,,,,,320,弁護士・弁理士,32,社員登用あり,31,鳥取県,1,222,三笠市,33,池田園,,,,,31,システム分析,,,,,,,,
,,,,,,330,司法書士・行政書士,33,週1日からOK,32,島根県,1,223,根室市,34,石狩金沢,,,,,32,システム構築,,,,,,,,
,,,,,,340,技術コンサルタント,34,週2・3日からOK,33,岡山県,1,224,千歳市,35,石狩月形,,,,,33,システム監査,,,,,,,,
,,,,,,350,ファイナンシャルプランナー,35,シフト自由,34,広島県,1,225,滝川市,36,当別,,,,,34,システム移行,,,,,,,,
,,,,,,360,ファンドマネージャー,36,高収入,35,山口県,1,226,砂川市,37,石狩沼田,,,,,35,システム設計,,,,,,,,
,,,,,,370,プロパティーマネージャー,37,即日勤務OK,36,徳島県,1,227,歌志内市,38,太美,,,,,36,システム開発,,,,,,,,
,,,,,,380,アセットマネージャー,38,急募,37,香川県,1,228,深川市,39,石倉,,,,,37,スクリプト,,,,,,,,
,,,,,,390,用地仕入・不動産開発,39,駅近5分以内,38,愛媛県,1,229,富良野市,40,石谷,,,,,38,ソフトウェアテスト,,,,,,,,
,,,,,,399,その他（金融・不動産・コンサルタント）,40,交通費支給,39,高知県,1,230,登別市,41,泉沢,,,,,39,ソフトウェア設計,,,,,,,,
,,,,,,410,店長・店長候補・管理職,41,資格取得支援あり,40,福岡県,1,231,恵庭市,42,磯分内,,,,,40,ソフトウェア開発,,,,,,,,
,,,,,,420,販売・売り場担当,42,ストックオプションあり,41,佐賀県,1,233,伊達市,43,糸井,,,,,41,データセンター経験,,,,,,,,
,,,,,,421,試飲・試食・デモンストレーター,43,時差出勤,42,長崎県,1,234,北広島市,44,糸魚沢,,,,,42,データベース構築,,,,,,,,
,,,,,,430,旅行関連,44,男性が活躍,43,熊本県,1,235,石狩市,45,愛し野,,,,,43,データベース管理,,,,,,,,
,,,,,,431,ショールーム受付,45,残業少なめ,44,大分県,1,236,北斗市,46,稲士別,,,,,44,データベース経験,,,,,,,,
,,,,,,432,旅行コーディネーター・添乗,46,残業多め,45,宮崎県,1,303,石狩郡当別町,47,稲積公園,,,,,45,データベース設計,,,,,,,,
,,,,,,433,商業施設受付（インフォメーション）,47,20代活躍中,46,鹿児島県,1,304,石狩郡新篠津村,48,稲穂,,,,,46,データ構造,,,,,,,,
,,,,,,440,ウェディング・ブライダル関連,48,30代活躍中,47,沖縄県,1,331,松前郡松前町,49,伊納,,,,,47,ディープラーニング,,,,,,,,
,,,,,,441,葬祭セレモニー関連,49,ミドル活躍中,,,1,332,松前郡福島町,50,岩見沢,,,,,48,テクニカルサポート,,,,,,,,
,,,,,,442,ブライダルコーディネーター・ウェディングプランナー,50,シニア活躍中,,,1,333,上磯郡知内町,51,植苗,,,,,49,テストケース作成,,,,,,,,
,,,,,,443,葬祭ディレクター・プランナー,51,主婦・主夫活躍中,,,1,334,上磯郡木古内町,52,有珠,,,,,50,デバッグ経験,,,,,,,,
,,,,,,450,ホテル・宿泊関連,52,送迎あり,,,1,337,亀田郡七飯町,53,歌内,,,,,51,バージョンアップ,,,,,,,,
,,,,,,451,ホテル受付・フロント,53,資格・スキルを活かせる,,,1,343,茅部郡鹿部町,54,鵜苫,,,,,52,ビッグデータ,,,,,,,,
,,,,,,452,送迎ドライバー,54,制服あり,,,1,345,茅部郡森町,55,浦臼,,,,,53,ファームウェア,,,,,,,,
,,,,,,453,ホール・配膳,55,扶養内OK,,,1,346,二海郡八雲町,56,浦河,,,,,54,フロントエンド開発,,,,,,,,
,,,,,,454,ホテル清掃・施設清掃,56,賞与あり,,,1,347,山越郡長万部町,57,浦幌,,,,,55,ヘルプデスク,,,,,,,,
,,,,,,460,ホール・フロア,57,給与前払い制度あり,,,1,361,檜山郡江差町,58,江差,,,,,56,ミドルウェア,,,,,,,,
,,,,,,470,美容・エステ,58,副業・ＷワークOK,,,1,362,檜山郡上ノ国町,59,恵庭,,,,,57,モバイルアプリ,,,,,,,,
,,,,,,471,コスメコンシェルジュ,59,早朝勤務,,,1,363,檜山郡厚沢部町,60,恵比島,,,,,58,ユーザビリティ,,,,,,,,
